student,module_id,module_title,similarity
user_38,module_58,module_58,0.62554
user_38,module_57,module_57,0.599128
user_38,module_48,module_48,0.558393
user_38,module_59,module_59,0.557433
user_38,module_46,module_46,0.551835
user_39,module_52,module_52,0.210705
user_39,module_63,module_63,0.176901
user_39,module_50,module_50,0.162002
user_39,module_67,module_67,0.141457
user_39,module_54,module_54,0.103288
user_40,module_52,module_52,0.208844
user_40,module_63,module_63,0.179675
user_40,module_50,module_50,0.161668
user_40,module_67,module_67,0.138621
user_40,module_54,module_54,0.100109
user_41,module_49,module_49,0.721188
user_41,module_48,module_48,0.719193
user_41,module_46,module_46,0.680636
user_41,module_66,module_66,0.609356
user_41,module_63,module_63,0.207345
user_42,module_52,module_52,0.211911
user_42,module_63,module_63,0.17444
user_42,module_50,module_50,0.16279
user_42,module_67,module_67,0.144757
user_42,module_54,module_54,0.107499
user_43,module_52,module_52,0.209908
user_43,module_63,module_63,0.177616
user_43,module_50,module_50,0.162106
user_43,module_67,module_67,0.140669
user_43,module_54,module_54,0.102859
user_44,module_58,module_58,0.749769
user_44,module_57,module_57,0.730736
user_44,module_52,module_52,0.207457
user_44,module_50,module_50,0.169778
user_44,module_63,module_63,0.165545
user_45,module_58,module_58,0.763832
user_45,module_52,module_52,0.212449
user_45,module_63,module_63,0.173201
user_45,module_50,module_50,0.160097
user_45,module_67,module_67,0.150029
user_46,module_49,module_49,0.720132
user_46,module_48,module_48,0.71738
user_46,module_46,module_46,0.678949
user_46,module_66,module_66,0.607526
user_46,module_63,module_63,0.207112
user_47,module_52,module_52,0.210894
user_47,module_63,module_63,0.176472
user_47,module_50,module_50,0.162094
user_47,module_67,module_67,0.142138
user_47,module_54,module_54,0.103897
user_48,module_52,module_52,0.210606
user_48,module_63,module_63,0.177221
user_48,module_50,module_50,0.162136
user_48,module_67,module_67,0.141461
user_48,module_54,module_54,0.103207
user_49,module_52,module_52,0.210631
user_49,module_63,module_63,0.176755
user_49,module_50,module_50,0.162316
user_49,module_67,module_67,0.141381
user_49,module_54,module_54,0.103567
user_50,module_58,module_58,0.765241
user_50,module_52,module_52,0.211975
user_50,module_63,module_63,0.17537
user_50,module_50,module_50,0.158468
user_50,module_67,module_67,0.148762
user_51,module_49,module_49,0.721199
user_51,module_48,module_48,0.719505
user_51,module_46,module_46,0.680887
user_51,module_66,module_66,0.609753
user_51,module_63,module_63,0.207374
user_52,module_52,module_52,0.210317
user_52,module_63,module_63,0.176934
user_52,module_50,module_50,0.162467
user_52,module_67,module_67,0.141236
user_52,module_54,module_54,0.103406
user_53,module_58,module_58,0.753928
user_53,module_57,module_57,0.734
user_53,module_52,module_52,0.20251
user_53,module_63,module_63,0.172135
user_53,module_50,module_50,0.170374
user_54,module_52,module_52,0.209873
user_54,module_63,module_63,0.177634
user_54,module_50,module_50,0.16223
user_54,module_67,module_67,0.141038
user_54,module_54,module_54,0.103417
user_55,module_52,module_52,0.209171
user_55,module_63,module_63,0.179473
user_55,module_50,module_50,0.161014
user_55,module_67,module_67,0.137714
user_55,module_54,module_54,0.098743
user_56,module_52,module_52,0.210486
user_56,module_63,module_63,0.176975
user_56,module_50,module_50,0.1622
user_56,module_67,module_67,0.141136
user_56,module_54,module_54,0.10322
user_57,module_52,module_52,0.212941
user_57,module_63,module_63,0.172739
user_57,module_50,module_50,0.163355
user_57,module_67,module_67,0.146395
user_57,module_54,module_54,0.109708
user_58,module_52,module_52,0.210233
user_58,module_63,module_63,0.177597
user_58,module_50,module_50,0.161958
user_58,module_67,module_67,0.140642
user_58,module_54,module_54,0.102767
user_59,module_52,module_52,0.210267
user_59,module_63,module_63,0.177033
user_59,module_50,module_50,0.162464
user_59,module_67,module_67,0.141616
user_59,module_54,module_54,0.103786
user_60,module_52,module_52,0.212135
user_60,module_63,module_63,0.174661
user_60,module_50,module_50,0.162703
user_60,module_67,module_67,0.144163
user_60,module_54,module_54,0.106424
user_61,module_58,module_58,0.705122
user_61,module_57,module_57,0.686185
user_61,module_48,module_48,0.671387
user_61,module_49,module_49,0.648461
user_61,module_46,module_46,0.645623
user_62,module_52,module_52,0.21101
user_62,module_63,module_63,0.176882
user_62,module_50,module_50,0.161807
user_62,module_67,module_67,0.142157
user_62,module_54,module_54,0.103346
user_63,module_52,module_52,0.211675
user_63,module_63,module_63,0.175023
user_63,module_50,module_50,0.162759
user_63,module_67,module_67,0.143699
user_63,module_54,module_54,0.106307
user_64,module_52,module_52,0.207399
user_64,module_63,module_63,0.181692
user_64,module_50,module_50,0.160405
user_64,module_67,module_67,0.13647
user_64,module_54,module_54,0.09691
user_65,module_52,module_52,0.208042
user_65,module_63,module_63,0.18026
user_65,module_50,module_50,0.161661
user_65,module_67,module_67,0.138082
user_65,module_54,module_54,0.099748
user_66,module_52,module_52,0.210383
user_66,module_63,module_63,0.177497
user_66,module_50,module_50,0.161776
user_66,module_67,module_67,0.141678
user_66,module_54,module_54,0.10311
user_69,module_48,module_48,0.594767
user_69,module_49,module_49,0.58829
user_69,module_58,module_58,0.566213
user_69,module_59,module_59,0.530219
user_69,module_46,module_46,0.524126
user_70,module_48,module_48,0.665579
user_70,module_49,module_49,0.649113
user_70,module_46,module_46,0.642509
user_70,module_66,module_66,0.531278
user_70,module_52,module_52,0.16145
user_71,module_49,module_49,0.671808
user_71,module_52,module_52,0.242607
user_71,module_50,module_50,0.140675
user_71,module_44,module_44,0.088895
user_71,module_53,module_53,0.052659
